Marijuana_Arrest Type,Adult/Juvenile,Arrest Year,Arrest Date,Arrest Time,CCN,Age,Offense Location District,Offense Location PSA,Offense Location Block GEOX,Offense Location Block GEOY,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location Block Address,Arrest Location Block GeoX,Arrest Location Block GeoY
Possession,Adult,2012,1/5/12,19:36:00,b'\x81\xc1\xd4\xf9y5\xd1',37,1D,103,399200,137600,708,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,19TH / H ST NE,,
Distribution,Adult,2012,1/5/12,19:37:00,b'\x81\xc1\xd4\xf9y5\xd1',20,1D,103,399200,137600,507,5D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,BENNING RD NE,401700,136900
Possession with intent to distribute,Adult,2012,1/5/12,20:11:00,b'VW\xf1\xe9M}\xdc',19,7D,703,400300,132200,103,1D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,2600 BLOCK OF BIRNEY PL SE,400300,132200
Distribution,Adult,2012,1/5/12,20:21:00,b'za\xc2<w\xa8\xe4',34,7D,708,399200,129000,605,6D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,BENNING RD NE,401700,136900
Possession,Adult,2012,1/5/12,20:36:00,b'J\x877\x89!\xa6\xf9',29,3D,304,398000,139600,,,W ,N ,M,Narcotics,Ucsa Possession Marijuana,GEORGIA AVE NW,397900,140500
Possession with intent to distribute,Adult,2012,1/5/12,21:01:00,b'\x8fp\xcb9AK\xea',23,7D,704,402300,130700,704,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,MISSISSIPI AVE SE,,
Possession with intent to distribute,Adult,2012,1/5/12,21:35:00,b'\x91\x8cC\xf1\t_f',30,3D,306,398100,139900,302,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,ALLEY 600 GRESHAM ST NW,,
Possession,Adult,2012,1/5/12,23:50:00,b'Kk\xe8\x1b\xdd\xce>',23,7D,701,401400,133000,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,V ST NW,397200,138900
Possession with intent to distribute,Juvenile,2012,1/5/12,Juvenile,Juvenile,Juvenile,7D,701,Juvenile,Juvenile,608,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,Juvenile,Juvenile
Possession,Adult,2012,1/6/12,17:20:00,b'\x05L\xe8~0C\x9c',27,4D,405,399700,141200,405,4D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4000 BLOCK OF HAREWOOD DR NE,399700,141200
Possession with intent to distribute,Adult,2012,1/6/12,17:20:00,b'\xee\xa9\x18>9\x8c\x9a',50,5D,501,399000,138100,702,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF 1ST ST NW,399000,138100
Possession with intent to distribute,Adult,2012,1/6/12,17:25:00,b'\xee\xa9\x18>9\x8c\x9a',38,5D,501,399000,138100,501,5D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF 1ST ST NW,399000,138100
Possession,Adult,2012,1/6/12,17:50:00,b')\x15\x1f\xf3\x95\x80Q',20,7D,707,399500,129900,602,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF FIRST ST SE,399500,129900
Possession with intent to distribute,Adult,2012,1/6/12,17:50:00,b')\x15\x1f\xf3\x95\x80Q',28,7D,707,399500,129900,707,7D,B ,U ,F,Narcotics,Ucsa Pwid Marijuana,3700 BLOCK OF FIRST ST SE,399500,129900
Possession,Adult,2012,1/6/12,18:04:00,b'V\x16\xf4x\xea+U',39,6D,602,406400,136600,602,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF CLOUD PL NE,,
Possession with intent to distribute,Adult,2012,1/6/12,18:23:00,b'\x9d8\xbf\xa5\xc3+\xd4',48,5D,502,399900,139100,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100
Possession with intent to distribute,Adult,2012,1/6/12,18:23:00,b'\xfeE7E\x9d\xfe\xd4',49,5D,502,399900,139100,701,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100
Possession,Adult,2012,1/6/12,18:24:00,b'\x81\xc4\xb7\xf0\xaf\x88\xc7',29,5D,502,399900,139100,203,2D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100
Possession with intent to distribute,Adult,2012,1/6/12,18:24:00,b's\xadh\x88\x98\xa4t',38,5D,502,399900,139100,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100
Possession,Adult,2012,1/6/12,18:30:00,b'5\x99>\xddg=R',45,4D,403,397600,142800,403,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,ALLEY 5200 GEORGIA AVE NW,,
Possession,Adult,2012,1/6/12,18:50:00,b'\x0b\xf2\xd1O\x9f\xe5\xd5',27,6D,604,406400,134900,401,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF E ST SE,406400,134900
Possession,Adult,2012,1/6/12,23:30:00,b'\x99$\x07\x07\xa2\xd2\xfb',31,1D,104,399200,137700,501,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1ST / N ST NE,,
Possession,Juvenile,2012,1/6/12,Juvenile,Juvenile,Juvenile,3D,307,Juvenile,Juvenile,307,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,Juvenile,Juvenile
Possession,Adult,2012,1/7/12,1:25:00,b'\x0e\xe5\xe7q1W<',30,1D,101,397400,137300,101,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF L ST NW,397400,137300
Possession,Adult,2012,1/7/12,6:15:00,b'8$X\xa1\xb3\xb9\xb3',18,5D,507,402400,136500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500
Possession,Adult,2012,1/7/12,6:15:00,b'8$X\xa1\xb3\xb9\xb3',18,5D,507,402400,136500,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500
Possession,Adult,2012,1/7/12,6:15:00,b'8$X\xa1\xb3\xb9\xb3',19,5D,507,402400,136500,506,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500
Possession,Adult,2012,1/7/12,6:15:00,b'8$X\xa1\xb3\xb9\xb3',20,5D,507,402400,136500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500
Possession,Adult,2012,1/7/12,13:55:00,b'\x1f\x93\x18cYp\x19',40,6D,601,404600,137300,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3800 BLOCK OF JAY ST NE,404700,137100
Possession,Adult,2012,1/7/12,14:10:00,b'\x15\xd7\xb1S#\xb3\xd9',24,6D,601,404500,137100,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3800 BLOCK OF HAYES ST NE,404500,137100
Possession,Adult,2012,1/7/12,14:15:00,b'O8\xf4i\xd3-\x9c',18,7D,706,400800,129900,607,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF MORRIS RD SE,401100,132400
Possession,Adult,2012,1/7/12,14:20:00,b'aQ\x04\x93K\xf9J',23,6D,601,404500,137300,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF HAYES ST NE,404500,137300
Possession,Adult,2012,1/7/12,15:10:00,"b'/\xda5xh""\x91'",18,6D,608,406600,136200,608,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,54TH ST NE,,
Possession,Adult,2012,1/7/12,15:10:00,b'\xa8f4\xf3j\x96\xad',44,5D,506,401400,138000,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1200 BLOCK OF MT OLIVET RD NE,401400,138000
Distribution,Adult,2012,1/7/12,15:17:00,b'\xd7\x9b\x83\x0f2\xaf%',24,6D,604,405500,135500,602,6D,B ,U ,F,Narcotics,Ucsa Distributing Marijuana,4600 BLOCK OF BENNING RD SE,405500,135500
Possession,Adult,2012,1/7/12,15:20:00,b'D\x8eXz\xc7qH',35,5D,507,401600,136800,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF BENNING RD NE SALLEY,401600,136900
Possession,Adult,2012,1/7/12,16:25:00,b'\xe6\x86\xfcif\x81a',44,5D,505,401500,139300,707,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2300 BLOCK OF 15TH ST NE,401500,139200
Possession,Adult,2012,1/7/12,16:50:00,b'p\x1b\x98\x82|B3',22,3D,307,397600,138300,405,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,11TH / R ST NW,,
Possession,Adult,2012,1/7/12,17:55:00,b'\x13\x87N\x99\xe1\xaa+',33,3D,305,397900,138500,604,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF 9TH ST NW,397900,138500
Possession,Adult,2012,1/7/12,18:20:00,b'\xf8\x01\x1e\xa2\xbe\x9a\xe9',18,1D,103,398800,136500,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2ND ST NW,398600,138500
Possession,Adult,2012,1/7/12,18:55:00,b'\x88tfG\x8d\x8c\x06',46,6D,608,406400,135900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF AMES ST NE,406400,135900
Distribution,Juvenile,2012,1/7/12,Juvenile,Juvenile,Juvenile,1D,105,Juvenile,Juvenile,501,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,Juvenile,Juvenile
Distribution,Juvenile,2012,1/7/12,Juvenile,Juvenile,Juvenile,1D,105,Juvenile,Juvenile,501,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,Juvenile,Juvenile
Possession,Adult,2012,1/8/12,7:30:00,b'F\xf9n\xc4\x1e\xa5\x80',26,5D,506,401700,138800,306,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF NEW YORK AVE NE,401700,138800
Possession,Adult,2012,1/8/12,15:42:00,b'\xba\xaa\xa7^\x15\xfbw',21,3D,303,396700,139800,,,U,H ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF COLUMBIA RD NW,396700,139800
Possession,Adult,2012,1/8/12,19:15:00,b'M\x13\xb2N)\x1c}',22,4D,405,399700,143000,405,4D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,CRITTENDEN,,
Possession,Adult,2012,1/8/12,19:20:00,b'R\xd1\xe6\x8c\xc9z\xa6',19,7D,706,400800,129900,706,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,900 BLOCK OF VALLEY AVE SE,400800,129900
Possession,Adult,2012,1/8/12,19:55:00,b'\xc4\xf9w\xf9pr\xe3',27,4D,405,400500,141000,405,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF 10TH ST NE,400500,141000
Possession,Adult,2012,1/8/12,21:45:00,"b""\xbc\xdd\xb1'^\xe5\x9e""",40,7D,702,402600,132000,,,B ,N ,F,Narcotics,Ucsa Possession Marijuana,ALABAMA / AINGER PL SE,398300,139300
Possession,Juvenile,2012,1/8/12,Juvenile,Juvenile,Juvenile,7D,703,Juvenile,Juvenile,702,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,Juvenile,Juvenile
Possession,Adult,2012,1/9/12,10:30:00,b'\xfePHY\x0c\xbd\xea',25,1D,102,398400,136200,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF ALABAMA AVE SE,402600,131700
Possession with intent to distribute,Adult,2012,1/9/12,20:55:00,b'o\xc6\x0c\xd3Y\t\xe8',23,6D,602,405900,136900,608,6D,U,U ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900
Possession with intent to distribute,Adult,2012,1/9/12,20:55:00,b'o\xc6\x0c\xd3Y\t\xe8',47,6D,602,405900,136900,608,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900
Possession,Juvenile,2012,1/9/12,Juvenile,Juvenile,Juvenile,7D,703,Juvenile,Juvenile,505,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,Juvenile,Juvenile
Possession,Adult,2012,1/10/12,8:55:00,b'>\x14z\x84\xcf\xaen',21,7D,701,402000,130300,101,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1900 BLOCK OF SOUTHERN AVE SE,402000,130300
Possession,Adult,2012,1/10/12,16:36:00,b'\x07\x9a\xb1\x814jW',39,6D,602,406300,136500,705,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,500 BLOCK OF 51ST ST NE,,
Possession with intent to distribute,Adult,2012,1/10/12,16:45:00,b'[\xb2\xc06Ixf',25,7D,704,401900,130700,704,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3400 BLOCK OF STANTON RD SE,,
Possession,Adult,2012,1/10/12,16:55:00,b'>7\n\xb6\xa6&\xc5',65,5D,506,401700,137500,503,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1600 BLOCK OF MEIGS PL NE,401700,137500
Possession,Adult,2012,1/10/12,17:16:00,b'\xc3\x7f\xf87\x9c\xbfr',67,4D,403,397600,143000,108,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,ALLEY 5400 ILLINOS AVE NW,,
Possession with intent to distribute,Adult,2012,1/10/12,18:00:00,b'\xea\x1d\xdf\xb3\xce\xc7\xcb',21,6D,603,403800,135500,708,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,2400 BLOCK OF ELVANS RD SE,401200,131700
Possession with intent to distribute,Adult,2012,1/10/12,19:45:00,b'\xa7+\x1ews\xb6M',18,6D,602,405900,137900,602,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4900 BLOCK OF QUARLES ST NE,405900,137900
Possession with intent to distribute,Adult,2012,1/10/12,20:55:00,b'o\xc6\x0c\xd3Y\t\xe8',28,6D,602,405900,136900,,,W ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF 49TH ST NE,405900,136900
Possession,Adult,2012,1/10/12,21:30:00,b'\xf1t\xdd\xfe\x80\x01w',56,7D,705,400700,130700,101,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,10TH / ALABAMA AVE SE,,
Possession,Adult,2012,1/10/12,21:50:00,b'\x8fR\xd8\xc0K\x1aO',30,5D,502,400400,139800,504,5D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2800 BLOCK OF 7TH ST NE,,
Possession,Juvenile,2012,1/10/12,Juvenile,Juvenile,Juvenile,1D,105,Juvenile,Juvenile,105,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,Juvenile,Juvenile
Possession with intent to distribute,Adult,2012,1/11/12,11:20:00,"b',#<\xef\xbc\x9c2'",25,5D,502,399700,138000,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF ECKINGTON PL NE,399700,138000
Possession,Adult,2012,1/11/12,15:10:00,b'+h\xcd\xce\xf2\x92\x8f',29,2D,207,396400,137000,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF I ST NE,402000,137100
Possession,Adult,2012,1/11/12,15:50:00,b'\xbb\x82R\x03b>\xae',31,1D,108,401400,136700,505,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,600 BLOCK OF 14TH PL NE,401400,136700
Possession,Adult,2012,1/11/12,15:57:00,"b""\xaa\xbff\xf8'\x81\x11""",35,6D,602,406100,136000,,,U,U ,M,Narcotics,Ucsa Possession Marijuana,50TH ST NE,406200,137300
Possession with intent to distribute,Adult,2012,1/11/12,16:00:00,b'\x8bw\x90\xe9\x92\xb6\xbc',29,6D,602,404800,136800,,,U,U ,M,Narcotics,Ucsa Pwid Marijuana,4000 BLOCK OF GRANT ST NE,404800,136800
Possession with intent to distribute,Adult,2012,1/11/12,21:05:00,b'\x8d\xd1&\x87\xdc\xe0\xab',36,6D,602,405000,136500,406,4D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4200 BLOCK OF EADS ST NE,405200,136400
Possession,Adult,2012,1/11/12,21:07:00,b'\xc7\x9aV\x9b\xe0\x97\xbc',37,7D,706,400000,129500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,XENIA ST SE,,
Possession,Adult,2012,1/11/12,21:45:00,b'\x86\xbb\x05\x88\xa3w\xb6',23,1D,105,399000,133700,105,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF 1ST ST SW,399000,133700
Distribution,Juvenile,2012,1/11/12,Juvenile,Juvenile,Juvenile,1D,102,Juvenile,Juvenile,101,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,Juvenile,Juvenile
Possession,Adult,2012,1/12/12,2:45:00,b'5sj\x18\xd4=@',23,5D,503,402400,138800,Out of State,Out of State,W ,N ,F,Narcotics,Ucsa Possession Marijuana,NEW YORK AVE NE,399200,137700
Possession with intent to distribute,Adult,2012,1/12/12,12:37:00,b'cZ\xf6y\x1d\x890',25,4D,402,398300,144500,402,4D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,UNDERWOOD ST NW,397300,144600
Distribution,Adult,2012,1/12/12,16:17:00,b'\xb6\x1da\xf5}\x04\x04',20,6D,601,405600,138200,601,6D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,1600 BLOCK OF KENILWORTH AVE NE,405600,138200
Possession,Adult,2012,1/12/12,16:24:00,b'H\xe7\xaa\x0c\xaeW\xaf',27,6D,601,405500,138300,706,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF QUARLES ST NE,405500,138300
Possession,Adult,2012,1/12/12,16:30:00,b'\x10T~Nm\x13\xdf',49,4D,409,397200,140700,101,1D,U,H ,M,Narcotics,Ucsa Possession Marijuana,3500 BLOCK OF 14TH ST NW,397100,140700
Possession,Adult,2012,1/12/12,17:21:00,b'\xa0\x8b\xdd\xaa\n\x0b\xd7',31,6D,608,406700,136000,608,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF 55TH ST NE,406700,136000
Possession with intent to distribute,Adult,2012,1/12/12,19:00:00,b'\xa3J\xe9$\xbc\x9b\xcb',20,7D,704,401700,131100,601,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3200 BLOCK OF STANTON RD SE,401700,131100
Possession with intent to distribute,Adult,2012,1/12/12,19:00:00,b'\xa3J\xe9$\xbc\x9b\xcb',35,7D,704,401700,131100,604,6D,B ,U ,F,Narcotics,Ucsa Pwid Marijuana,3200 BLOCK OF STANTON RD SE,401700,131100
Possession with intent to distribute,Adult,2012,1/12/12,19:00:00,b'\xa3J\xe9$\xbc\x9b\xcb',41,7D,704,401700,131100,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3200 BLOCK OF STANTON RD SE,401700,131100
